5.097: [Full GC 36811K->1245K(12279488K), 0.0255290 secs]
7.004: [GC 387864K->380001K(12279488K), 0.2390665 secs]
7.267: [GC 448161K->447625K(12279488K), 0.0931152 secs]
7.385: [GC 515785K->514415K(12279488K), 0.0950247 secs]
7.504: [GC 582575K->581648K(12279488K), 0.0966785 secs]
7.626: [GC 649808K->649247K(12279488K), 0.0994905 secs]
7.750: [GC 717407K->717014K(12279488K), 0.1019101 secs]
7.877: [GC 785174K->784877K(12279488K), 0.1045709 secs]
8.006: [GC 853037K->852789K(12279488K), 0.1076530 secs]
8.138: [GC 920949K->920855K(12279488K), 0.1109853 secs]
8.274: [GC 989015K->988932K(12279488K), 0.1126870 secs]
8.412: [GC 1057092K->1057028K(12279488K), 0.1151526 secs]
8.553: [GC 1125188K->1125048K(12279488K), 0.1197910 secs]
8.699: [GC 1193208K->1192995K(12279488K), 0.1212261 secs]
8.845: [GC 1261155K->1260951K(12279488K), 0.1226176 secs]
8.992: [GC 1329111K->1329062K(12279488K), 0.1256552 secs]
9.143: [GC 1397222K->1397168K(12279488K), 0.1288705 secs]
10.582: [GC 1434252K->1433585K(12279488K), 0.0496588 secs]
10.786: [GC 1474864K->1481825K(12279488K), 0.0171105 secs]
10.806: [GC 1522038K->1515210K(12279488K), 0.0116435 secs]
10.821: [GC 1555164K->1553355K(12279488K), 0.0124572 secs]
12.391: [GC 1939975K->1927652K(12279488K), 0.0205850 secs]
12.499: [GC 1995812K->1995085K(12279488K), 0.0919021 secs]
12.679: [GC 2063245K->2063004K(12279488K), 0.0950621 secs]
12.862: [GC 2131164K->2131170K(12279488K), 0.0996913 secs]
13.432: [GC 2199330K->2198432K(12279488K), 0.0905945 secs]
13.606: [GC 2266592K->2266555K(12279488K), 0.0946601 secs]
13.748: [GC 2334715K->2334541K(12279488K), 0.0958743 secs]
13.890: [GC 2402701K->2402652K(12279488K), 0.0978819 secs]
14.035: [GC 2470812K->2470775K(12279488K), 0.1029713 secs]
14.188: [GC 2538935K->2538912K(12279488K), 0.1036229 secs]
14.340: [GC 2607072K->2606730K(12279488K), 0.1068832 secs]
14.495: [GC 2674890K->2674835K(12279488K), 0.1087355 secs]
14.683: [GC 2742995K->2742893K(12279488K), 0.1010002 secs]
15.112: [GC 2811053K->2809758K(12279488K), 0.0929707 secs]
15.294: [GC 2877918K->2877804K(12279488K), 0.0964153 secs]
15.480: [GC 2945964K->2945828K(12279488K), 0.0995796 secs]
15.669: [GC 3013988K->3009186K(12279488K), 0.0897851 secs]
16.211: [GC 3038245K->3033389K(12279488K), 0.0376389 secs]
16.496: [GC 3155934K->3161182K(12279488K), 0.0334508 secs]
16.532: [GC 3201314K->3194596K(12279488K), 0.0261328 secs]
16.945: [GC 3397585K->3392266K(12279488K), 0.0192359 secs]
17.910: [GC 3540040K->3532196K(12279488K), 0.0256162 secs]
18.027: [GC 3600356K->3599114K(12279488K), 0.0964085 secs]
18.214: [GC 3667274K->3666156K(12279488K), 0.0988791 secs]
18.405: [GC 3734316K->3733692K(12279488K), 0.1017988 secs]
18.568: [GC 3801852K->3801826K(12279488K), 0.1045211 secs]
18.742: [GC 3869986K->3869060K(12279488K), 0.0962535 secs]
18.930: [GC 3937220K->3936964K(12279488K), 0.0989753 secs]
19.079: [GC 4005124K->4004956K(12279488K), 0.1025380 secs]
19.228: [GC 4073116K->4072769K(12279488K), 0.1042128 secs]
19.379: [GC 4140929K->4140849K(12279488K), 0.1100562 secs]
19.547: [GC 4209009K->4208552K(12279488K), 0.0996109 secs]
19.712: [GC 4276712K->4276682K(12279488K), 0.1022376 secs]
19.861: [GC 4344842K->4344823K(12279488K), 0.1041500 secs]
20.011: [GC 4412983K->4412827K(12279488K), 0.1073771 secs]
20.175: [GC 4480987K->4480790K(12279488K), 0.0989558 secs]
20.364: [GC 4548950K->4548907K(12279488K), 0.1034606 secs]
20.557: [GC 4617067K->4616909K(12279488K), 0.1053172 secs]
21.293: [GC 4751237K->4749508K(12279488K), 0.0435770 secs]
21.558: [GC 4870753K->4873512K(12279488K), 0.0297208 secs]
21.799: [GC 4995065K->4989055K(12279488K), 0.0314655 secs]
22.710: [GC 5136830K->5133478K(12279488K), 0.0408190 secs]
22.843: [GC 5201638K->5201535K(12279488K), 0.0998762 secs]
23.035: [GC 5269695K->5268984K(12279488K), 0.1009847 secs]
23.215: [GC 5337144K->5332139K(12279488K), 0.0924988 secs]
23.579: [GC 5400299K->5396975K(12279488K), 0.0954005 secs]
23.768: [GC 5465135K->5464007K(12279488K), 0.0984606 secs]
23.960: [GC 5532167K->5532155K(12279488K), 0.1017901 secs]
24.164: [GC 5600315K->5600224K(12279488K), 0.1043105 secs]
24.334: [GC 5668384K->5668284K(12279488K), 0.1093686 secs]
24.482: [GC 5736444K->5736378K(12279488K), 0.1087157 secs]
24.636: [GC 5804538K->5803761K(12279488K), 0.1003473 secs]
24.782: [GC 5871921K->5871864K(12279488K), 0.1051929 secs]
24.933: [GC 5940024K->5939650K(12279488K), 0.1069317 secs]
25.085: [GC 6007810K->6007713K(12279488K), 0.1096708 secs]
25.261: [GC 6075873K->6071142K(12279488K), 0.1023122 secs]
25.458: [GC 6139302K->6138244K(12279488K), 0.1132969 secs]
25.618: [GC 6206404K(12279488K), 0.1073598 secs]
25.725: [GC 6206404K->6206043K(12279488K), 0.1273120 secs]
26.839: [GC 6273857K->6268465K(12279488K), 0.1189937 secs]
27.076: [GC 6309986K->6314515K(12279488K), 0.0266493 secs]
27.322: [GC 6596257K->6588890K(12279488K), 0.0314420 secs]
28.628: [GC 6657050K->6654685K(12279488K), 0.0481882 secs]
28.770: [GC 6722841K->6721866K(12279488K), 0.1105646 secs]
28.954: [GC 6790026K->6789999K(12279488K), 0.1137209 secs]
29.118: [GC 6858159K->6857938K(12279488K), 0.1138171 secs]
29.280: [GC 6926098K->6925458K(12279488K), 0.1159577 secs]
29.490: [GC 6993618K->6993481K(12279488K), 0.1220989 secs]
29.695: [GC 7061641K->7061094K(12279488K), 0.1239126 secs]
29.867: [GC 7129254K->7128894K(12279488K), 0.1255689 secs]
30.053: [GC 7197054K->7195751K(12279488K), 0.1087293 secs]
30.254: [GC 7263911K->7263297K(12279488K), 0.1111637 secs]
30.458: [GC 7331457K->7330785K(12279488K), 0.1139306 secs]
30.668: [GC 7398945K->7398649K(12279488K), 0.1170272 secs]
31.273: [GC 7466809K->7466542K(12279488K), 0.1106732 secs]
31.736: [GC 7507758K->7510528K(12279488K), 0.0271834 secs]
32.521: [GC 7552806K->7548156K(12279488K), 0.0271182 secs]
32.834: [GC 7616316K->7613414K(12279488K), 0.0490102 secs]
32.969: [GC 7681574K->7681266K(12279488K), 0.1130733 secs]
33.170: [GC 7749426K->7749409K(12279488K), 0.1151282 secs]
33.371: [GC 7817569K->7817560K(12279488K), 0.1281598 secs]
35.337: [GC 7885720K->7873763K(12279488K), 0.0877410 secs]
35.514: [GC 7941923K(12279488K), 0.0451166 secs]
35.559: [GC 7941923K->7941751K(12279488K), 0.1091388 secs]
35.750: [GC 8009666K->8008278K(12279488K), 0.1055124 secs]
35.945: [GC 8076438K->8076328K(12279488K), 0.1112234 secs]
36.146: [GC 8144488K->8144480K(12279488K), 0.1156166 secs]
37.448: [GC 8203914K->8200653K(12279488K), 0.0558004 secs]
37.590: [GC 8268813K->8268234K(12279488K), 0.1093844 secs]
37.785: [GC 8336394K->8336273K(12279488K), 0.1116406 secs]
37.983: [GC 8404433K->8404402K(12279488K), 0.1159732 secs]
38.894: [GC 8463751K->8456400K(12279488K), 0.0939738 secs]
39.078: [GC 8524560K->8524378K(12279488K), 0.1093024 secs]
39.276: [GC 8592538K->8592513K(12279488K), 0.1125490 secs]
39.481: [GC 8660669K->8660609K(12279488K), 0.1143788 secs]
39.688: [GC 8728769K->8728658K(12279488K), 0.1161492 secs]
40.054: [GC 8773288K(12279488K), 0.0061267 secs]
40.821: [GC 8796818K->8795563K(12279488K), 0.0591648 secs]
40.919: [GC 8863723K->8862925K(12279488K), 0.0613546 secs]
41.065: [GC 8931085K->8926334K(12279488K), 0.1038370 secs]
41.261: [GC 8994494K->8993700K(12279488K), 0.1177203 secs]
41.473: [GC 9061860K->9060763K(12279488K), 0.1201965 secs]
42.649: [GC 9099118K->9094280K(12279488K), 0.0641283 secs]
43.424: [GC 9162440K->9162475K(12279488K), 0.0625726 secs]
43.577: [GC 9230635K->9229309K(12279488K), 0.1145678 secs]
43.780: [GC 9297469K->9297202K(12279488K), 0.1172570 secs]
43.989: [GC 9365362K->9365314K(12279488K), 0.1206011 secs]
45.175: [GC 9426695K->9416471K(12279488K), 0.0829522 secs]
46.506: [GC 9484631K->9479241K(12279488K), 0.0524072 secs]
46.668: [GC 9547401K->9543939K(12279488K), 0.1163211 secs]
46.875: [GC 9612099K->9610940K(12279488K), 0.1174788 secs]
47.083: [GC 9679100K(12279488K), 0.0524567 secs]
47.136: [GC 9679100K->9679094K(12279488K), 0.1164724 secs]
48.762: [GC 8554911K->8553864K(12279488K), 0.1060097 secs]
48.957: [GC 8622024K->8621933K(12279488K), 0.1084089 secs]
49.154: [GC 8690093K->8689867K(12279488K), 0.1180692 secs]
49.359: [GC 8758027K->8758019K(12279488K), 0.1310445 secs]
49.578: [GC 8824948K->8824549K(12279488K), 0.1142987 secs]
51.580: [GC 8887974K->8879626K(12279488K), 0.0526518 secs]
51.719: [GC 8947786K->8945486K(12279488K), 0.1068946 secs]
51.914: [GC 9013646K->9013631K(12279488K), 0.1189161 secs]
52.122: [GC 9081790K->9081741K(12279488K), 0.1293827 secs]
52.328: [GC 9147607K->9147539K(12279488K), 0.1245498 secs]
53.562: [GC 9151564K(12279488K), 0.0028145 secs]
54.385: [GC 9213279K->9207877K(12279488K), 0.1020323 secs]
54.580: [GC 9276037K->9275747K(12279488K), 0.1156911 secs]
54.779: [GC 9343907K->9338995K(12279488K), 0.1065420 secs]
54.980: [GC 9407155K->9406158K(12279488K), 0.1268199 secs]
56.856: [GC 9474318K->9470825K(12279488K), 0.1220989 secs]
57.063: [GC 9538985K->9538913K(12279488K), 0.1141286 secs]
57.263: [GC 9607073K->9606977K(12279488K), 0.1210381 secs]
57.465: [GC 9675137K->9672350K(12279488K), 0.1205012 secs]
59.352: [GC 9740510K->9737342K(12279488K), 0.1218546 secs]
59.564: [GC 9805502K->9805390K(12279488K), 0.1188251 secs]
59.776: [GC 9873550K->9873426K(12279488K), 0.1186547 secs]
59.987: [GC 9941586K->9941488K(12279488K), 0.1224942 secs]
63.341: [GC 10009648K->10004028K(12279488K), 0.1054295 secs]
63.535: [GC 10072188K->10072000K(12279488K), 0.1166217 secs]
63.738: [GC 10140160K(12279488K), 0.0494046 secs]
63.788: [GC 10140160K->10139824K(12279488K), 0.1150404 secs]
63.994: [GC 10207960K->10207944K(12279488K), 0.1178184 secs]
